date,capital,position_value,total_value,position,return,cum_return
2021-01-13,-12799.831599999976,192079.0,179279.16840000002,100,0.028689602124587488,0.7927916840000007
2021-01-14,-12799.831599999976,190190.0,177390.16840000002,100,-0.010536639682449556,0.7739016840000006
2021-01-15,-12799.831599999976,181479.0,168679.16840000002,100,-0.04910644191033986,0.6867916840000006
2021-01-18,-12799.831599999976,182606.0,169806.16840000002,100,0.006681322955822688,0.6980616840000007
2021-01-19,-12799.831599999976,179264.0,166464.16840000002,100,-0.019681263828575934,0.6646416840000007
2021-01-20,-12799.831599999976,176829.0,164029.16840000002,100,-0.014627772591569888,0.6402916840000008
2021-01-21,-12799.831599999976,182679.0,169879.16840000002,100,0.03566438857834253,0.6987916840000006
2021-01-22,-12799.831599999976,184589.0,171789.16840000002,100,0.011243285554016103,0.7178916840000005
2021-01-25,-12799.831599999976,186879.0,174079.16840000002,100,0.013330293296885287,0.7407916840000006
2021-01-26,-12799.831599999976,191090.0,178290.16840000002,100,0.02419014313260015,0.7829016840000007
2021-01-27,-12799.831599999976,187079.0,174279.16840000002,100,-0.02249703411015458,0.7427916840000006
2021-01-28,-12799.831599999976,184581.0,171781.16840000002,100,-0.014333325221443927,0.7178116840000006
2021-01-29,-12799.831599999976,187601.0,174801.16840000002,100,0.017580506804842466,0.7480116840000006
2021-02-01,-12799.831599999976,188079.0,175279.16840000002,100,0.002734535497532775,0.7527916840000006
2021-02-02,-12799.831599999976,188789.0,175989.16840000002,100,0.004050681016352975,0.7598916840000007
2021-02-03,-12799.831599999976,192579.0,179779.16840000002,100,0.021535416267129737,0.7977916840000008
2021-02-04,-12799.831599999976,197679.0,184879.16840000002,100,0.02836813656103221,0.8487916840000009
2021-02-05,-12799.831599999976,207679.0,194879.16840000002,100,0.054089382197805236,0.948791684000001
2021-02-08,-12799.831599999976,209879.0,197079.16840000002,100,0.01128904653105045,0.9707916840000013
2021-02-09,-12799.831599999976,213579.0,200779.16840000002,100,0.018774181107210408,1.0077916840000016
2021-02-10,-12799.831599999976,227079.0,214279.16840000002,100,0.06723805117622939,1.1427916840000014
2021-02-18,-12799.831599999976,225079.0,212279.16840000002,100,-0.009333618451731862,1.1227916840000014
2021-02-19,-12799.831599999976,216739.0,203939.16840000002,100,-0.039287887091609686,1.0393916840000013
2021-02-22,-12799.831599999976,206401.00000000003,193601.16840000005,100,-0.05069158652114991,0.9360116840000017
2021-02-23,-12799.831599999976,205079.0,192279.16840000002,100,-0.006828471186024254,0.9227916840000014
2021-02-24,-12799.831599999976,194629.0,181829.16840000002,100,-0.054348061139211756,0.8182916840000014
2021-02-25,-12799.831599999976,190700.0,177900.16840000002,100,-0.021608194298929684,0.7790016840000014
2021-02-26,-12799.831599999976,185309.0,172509.16840000002,100,-0.030303512630064477,0.7250916840000012
2021-03-01,-12799.831599999976,190579.0,177779.16840000002,100,0.030549100948538355,0.7777916840000012
2021-03-02,-12799.831599999976,181879.0,169079.16840000002,100,-0.04893711720163496,0.6907916840000012
2021-03-03,169023.605,0.0,169023.605,0,-0.00032862357040086554,0.6902360500000011
2021-03-04,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-05,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-08,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-09,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-10,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-11,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-12,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-15,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-16,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-17,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-18,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-19,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-22,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-23,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-24,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-25,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-26,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-29,169023.605,0.0,169023.605,0,0.0,0.6902360500000011
2021-03-30,-13119.021399999998,182087.0,168967.9786,100,-0.0003291043283569772,0.689679786000001
2021-03-31,-13119.021399999998,178579.0,165459.9786,100,-0.020761330218103224,0.654599786000001
2021-04-01,-13119.021399999998,178701.0,165581.9786,100,0.0007373384248703374,0.655819786000001
2021-04-02,-13119.021399999998,184179.0,171059.9786,100,0.033083310432189705,0.7105997860000011
2021-04-06,-13119.021399999998,188809.0,175689.9786,100,0.02706652975110324,0.7568997860000009
2021-04-07,-13119.021399999998,183579.0,170459.9786,100,-0.02976834559190955,0.7045997860000008
2021-04-08,-13119.021399999998,182979.0,169859.9786,100,-0.003519887805500388,0.6985997860000008
2021-04-09,-13119.021399999998,179080.0,165960.9786,100,-0.022954200466383412,0.6596097860000008
2021-04-12,-13119.021399999998,177749.0,164629.9786,100,-0.008019957529944333,0.6462997860000008
2021-04-13,-13119.021399999998,179479.0,166359.9786,100,0.010508414170443237,0.6635997860000009
2021-04-14,-13119.021399999998,180179.0,167059.9786,100,0.0042077427870022,0.6705997860000008
2021-04-15,-13119.021399999998,177579.0,164459.9786,100,-0.015563272674811612,0.6445997860000008
2021-04-16,-13119.021399999998,179779.0,166659.9786,100,0.01337711471646763,0.6665997860000008
2021-04-19,-13119.021399999998,181879.0,168759.9786,100,0.012600505638130421,0.6875997860000007
2021-04-20,-13119.021399999998,185579.0,172459.9786,100,0.021924629468991874,0.7245997860000006
2021-04-21,-13119.021399999998,185089.0,171969.9786,100,-0.0028412389006291505,0.7196997860000007
2021-04-22,-13119.021399999998,183729.0,170609.9786,100,-0.007908357092741958,0.7060997860000009
2021-04-23,-13119.021399999998,183829.0,170709.9786,100,0.0005861321876983183,0.7070997860000008
2021-04-26,-13119.021399999998,185939.0,172819.9786,100,0.012360144481911473,0.7281997860000009
2021-04-27,-13119.021399999998,185088.0,171968.9786,100,-0.00492419919788134,0.7196897860000009
2021-04-28,-13119.021399999998,178879.0,165759.9786,100,-0.036105349060903236,0.6575997860000009
2021-04-29,-13119.021399999998,179979.0,166859.9786,100,0.006636101242836423,0.6685997860000008
2021-04-30,-13119.021399999998,178950.0,165830.9786,100,-0.0061668472490142845,0.6583097860000009
2021-05-06,-13119.021399999998,173879.0,160759.9786,100,-0.03057932868038926,0.6075997860000009
2021-05-07,155508.3752,0.0,155508.3752,0,-0.03266735567977985,0.5550837520000009
2021-05-10,155508.3752,0.0,155508.3752,0,0.0,0.5550837520000009
2021-05-11,155508.3752,0.0,155508.3752,0,0.0,0.5550837520000009
2021-05-12,155508.3752,0.0,155508.3752,0,0.0,0.5550837520000009
2021-05-13,155508.3752,0.0,155508.3752,0,0.0,0.5550837520000009
2021-05-14,155508.3752,0.0,155508.3752,0,0.0,0.5550837520000009
2021-05-17,155508.3752,0.0,155508.3752,0,0.0,0.5550837520000009
2021-05-18,155508.3752,0.0,155508.3752,0,0.0,0.5550837520000009
2021-05-19,155508.3752,0.0,155508.3752,0,0.0,0.5550837520000009
2021-05-20,155508.3752,0.0,155508.3752,0,0.0,0.5550837520000009
2021-05-21,155508.3752,0.0,155508.3752,0,0.0,0.5550837520000009
2021-05-24,155508.3752,0.0,155508.3752,0,0.0,0.5550837520000009
2021-05-25,-31627.7488,187079.0,155451.2512,100,-0.0003673371284764748,0.5545125120000007
2021-05-26,-31627.7488,197887.0,166259.2512,100,0.06952661954515027,0.6625925120000007
2021-05-27,-31627.7488,198689.0,167061.2512,100,0.004823791724138271,0.6706125120000006
2021-05-28,-31627.7488,199130.0,167502.2512,100,0.0026397503719881588,0.6750225120000006
2021-05-31,-31627.7488,195779.0,164151.2512,100,-0.020005701272628573,0.6415125120000007
2021-06-01,-31627.7488,199179.0,167551.2512,100,0.020712604839407955,0.6755125120000007
2021-06-02,-31627.7488,199397.0,167769.2512,100,0.0013010944319347129,0.6776925120000008
2021-06-03,-31627.7488,199587.0,167959.2512,100,0.0011325078859265592,0.6795925120000008
2021-06-04,-31627.7488,199983.0,168355.2512,100,0.002357714726463289,0.6835525120000008
2021-06-07,-31627.7488,202580.0,170952.2512,100,0.01542571426486039,0.7095225120000008
2021-06-08,-31627.7488,194694.0,163066.2512,100,-0.04612984002634768,0.6306625120000007
2021-06-09,-31627.7488,194590.0,162962.2512,100,-0.0006377775857031587,0.6296225120000007
2021-06-10,-31627.7488,197587.0,165959.2512,100,0.018390762142343364,0.6595925120000008
2021-06-11,-31627.7488,196460.0,164832.2512,100,-0.0067908236018843215,0.6483225120000007
2021-06-15,-31627.7488,193379.0,161751.2512,100,-0.018691730396023343,0.6175125120000007
2021-06-16,-31627.7488,193379.0,161751.2512,100,0.0,0.6175125120000007
2021-06-17,-31627.7488,193015.0,161387.2512,100,-0.0022503689912724,0.6138725120000008
2021-06-18,-31627.7488,185079.0,153451.2512,100,-0.049173648729943786,0.5345125120000007
2021-06-21,151895.1778,0.0,151895.1778,0,-0.010140506433355179,0.5189517780000006
2021-06-22,151895.1778,0.0,151895.1778,0,0.0,0.5189517780000006
